<Example: void main(java.lang.String[])>	AssignLocal	<Example: void main(java.lang.String[])>/sum_$$A_1_$$A_4#_15	AssignLocal	<Example: void main(java.lang.String[])>/sum_$$A_1_$$A_1#_10
<Example: void main(java.lang.String[])>	AssignNumConstant	<Example: void main(java.lang.String[])>/sum_$$A_1#_8	AssignLocal	<Example: void main(java.lang.String[])>/sum_$$A_1_$$A_1#_10
<Example: void main(java.lang.String[])>	AssignLocal	<Example: void main(java.lang.String[])>/i_$$A_1_$$A_2#_9	AssignLocal	<Example: void main(java.lang.String[])>/i_$$A_1_$$A_1#_10
<Example: void main(java.lang.String[])>	AssignNumConstant	<Example: void main(java.lang.String[])>/i_$$A_1#_9	AssignLocal	<Example: void main(java.lang.String[])>/i_$$A_1_$$A_1#_10
<Example: void main(java.lang.String[])>	AssignLocal	<Example: void main(java.lang.String[])>/i_$$A_1_$$A_1#_10	AssignLocal	<Example: void main(java.lang.String[])>/i_$$A_1_$$A_2#_9
<Example: int add(int,int)>	AssignLocal	<Example: int add(int,int)>/a#_0	AssignLocal	<Example: int add(int,int)>/$stack2
<Example: int add(int,int)>	AssignLocal	<Example: int add(int,int)>/b#_0	AssignLocal	<Example: int add(int,int)>/$stack2
<Example: void main(java.lang.String[])>	AssignLocal	<Example: void main(java.lang.String[])>/sum_$$A_1_$$A_2#_12	AssignLocal	<Example: void main(java.lang.String[])>/sum_$$A_1_$$A_4#_15
<Example: void main(java.lang.String[])>	AssignLocal	<Example: void main(java.lang.String[])>/sum_$$A_1_$$A_3#_14	AssignLocal	<Example: void main(java.lang.String[])>/sum_$$A_1_$$A_4#_15
<Example: void main(java.lang.String[])>	AssignNumConstant	<Example: void main(java.lang.String[])>/c#_7	AssignLocal	<Example: void main(java.lang.String[])>/$stack7
Interprocedural	Return	<Example: int add(int,int)>/$stack2	AssignReturnValue	<Example: void main(java.lang.String[])>/$stack6
<Example: void main(java.lang.String[])>	AssignReturnValue	<Example: void main(java.lang.String[])>/$stack9	AssignLocal	<Example: void main(java.lang.String[])>/sum_$$A_1_$$A_2#_12
<Example: void main(java.lang.String[])>	AssignReturnValue	<Example: void main(java.lang.String[])>/$stack6	AssignLocal	<Example: void main(java.lang.String[])>/sum_$$A_1_$$A_3#_14
<Example: void main(java.lang.String[])>	AssignLocal	<Example: void main(java.lang.String[])>/sum_$$A_1_$$A_1#_10	AssignLocal	<Example: void main(java.lang.String[])>/i_$$A_1_$$A_3#_18
<Example: int add(int,int)>	AssignMethodParameter	<Example: int add(int,int)>/@parameter0	AssignLocal	<Example: int add(int,int)>/a#_0
<Example: int add(int,int)>	AssignMethodParameter	<Example: int add(int,int)>/@parameter1	AssignLocal	<Example: int add(int,int)>/b#_0
Interprocedural	AssignMethodParameter	<Example: void main(java.lang.String[])>/sum_$$A_1_$$A_1#_10	AssignMethodParameter	<Example: int add(int,int)>/@parameter0
Interprocedural	AssignMethodParameter	<Example: void main(java.lang.String[])>/i_$$A_1_$$A_1#_10	AssignMethodParameter	<Example: int add(int,int)>/@parameter1
Interprocedural	AssignMethodParameter	<Example: void main(java.lang.String[])>/$stack5	AssignMethodParameter	<Example: int add(int,int)>/@parameter1
<Example: void main(java.lang.String[])>	AssignLocal	<Example: void main(java.lang.String[])>/i_$$A_1_$$A_1#_10	AssignLocal	<Example: void main(java.lang.String[])>/$stack8
Interprocedural	Return	<Example: int add(int,int)>/$stack2	AssignReturnValue	<Example: void main(java.lang.String[])>/$stack9
