<Example: void <init>()>/this#_0	hello	19	-20
<Example: void main(java.lang.String[])>/count#_8	hello	17	-12
<Example: void main(java.lang.String[])>/$stack4	hello	0	-16
<Example: void main(java.lang.String[])>/$stack5	hello	0	-15
<Example: void main(java.lang.String[])>/$stack6	hello	0	-14
<Example: void main(java.lang.String[])>/$stack7	hello	0	-13
<Example: void main(java.lang.String[])>/$stack8	hello	0	-12
<Example: void main(java.lang.String[])>/args#_0	hello	0	-20
<Example: void main(java.lang.String[])>/sum_$$A_1#_7	hello	0	-13
<Example: void main(java.lang.String[])>/i_$$A_1#_9	hello	0	-11
<Example: void main(java.lang.String[])>/i_$$A_1_$$A_1#_10	hello	0	-10
<Example: void main(java.lang.String[])>/sum_$$A_1_$$A_2#_11	hello	0	-9
<Example: void main(java.lang.String[])>/sum_$$A_1_$$A_3#_13	hello	0	-7
<Example: void main(java.lang.String[])>/sum_$$A_1_$$A_4#_14	hello	0	-6
<Example: void main(java.lang.String[])>/i_$$A_1_$$A_2#_9	hello	0	-11
<Example: void main(java.lang.String[])>/i_$$A_1_$$A_3#_17	hello	0	-3
<Example: int add(int,int)>/a#_0	hello	0	-20
<Example: int add(int,int)>/b#_0	hello	0	-20
<Example: int add(int,int)>/$stack2	hello	0	-18
